Queries,,Model,Article1/Ranking,Article2/Ranking,Article3/Ranking,Article4/Ranking,Article5/Ranking,Article6/Ranking,Article7/Ranking,Article8/Ranking,Article9/Ranking,Article10/Ranking,Article11/Ranking,Article12/Ranking,"Non-parametric (Friedman, Nemenyi)"
"A correction notice is issued over a post by States Times Review over false statements. However, the owner of the site, Alex Tan said he would not comply with the order. A day later, Facebook was told to insert the notice, which it did.",0,Title,"(52888, 'en')","(23291, 'zh')","(160, 'ms')","(2521, 'ta')","(800, 'ms')","(32826, 'zh')","(2191, 'ta')","(2536, 'ta')","(112689, 'en')","(309, 'ms')","(29299, 'en')","(10444, 'zh')",p=0.717
"A correction notice is issued over a post by States Times Review over false statements. However, the owner of the site, Alex Tan said he would not comply with the order. A day later, Facebook was told to insert the notice, which it did.",1,BWE-Agg-Add,0.8617433373645011,0.619809705213475,0.5213149357232959,0.532265243783479,0.455102551497897,0.5137829241484021,0.49578096253141796,0.6294938084937877,0.7911292491173076,0.3103720730336762,0.8333411296722824,0.4481840532921499,0.3002548138587512
"A correction notice is issued over a post by States Times Review over false statements. However, the owner of the site, Alex Tan said he would not comply with the order. A day later, Facebook was told to insert the notice, which it did.",2,BWE-Agg-IDF,0.8486304484723776,0.6425278551481449,0.5079539988042039,0.5035117845396596,0.49214966463030924,0.48908940258466743,0.5069285566768387,0.606789851909199,0.7683543303728267,0.31831926866509963,0.8179008603212831,0.42409160217546965,0.3002548138587512
"A correction notice is issued over a post by States Times Review over false statements. However, the owner of the site, Alex Tan said he would not comply with the order. A day later, Facebook was told to insert the notice, which it did.",3,LASER,0.44387046793755625,0.7490538003586119,0.7359907305577319,0.3826139124867789,0.668394551957183,0.6828952026325137,0.2701467954815407,0.23483241963563434,0.4499852341914975,0.6816735004716286,0.4148404219860075,0.7070693340924128,0.3994903722824976
"The Home Team Science and Technology Agency (HTX) is formed to harness technologies for Singapore's security. A day later, HTX is launched with new technologies unveiled.",0,Title,"(333, 'ms')","(35072, 'zh')","(2879, 'ta')","(62137, 'en')","(69884, 'en')","(495, 'ms')","(1867, 'ta')","(5170, 'ta')","(44328, 'zh')","(16756, 'zh')","(111286, 'en')","(314, 'ms')",p=0.039
"The Home Team Science and Technology Agency (HTX) is formed to harness technologies for Singapore's security. A day later, HTX is launched with new technologies unveiled.",1,BWE-Agg-Add,0.5074961274854836,0.4667478313292203,0.5265016452292575,0.6053669089224567,0.6200622676188594,0.4625048206460463,0.5088008053887225,0.5264571180596973,0.2965397521984923,0.3723461414476672,0.6999387128695654,0.5473907063983326,0.6745668700075835
"The Home Team Science and Technology Agency (HTX) is formed to harness technologies for Singapore's security. A day later, HTX is launched with new technologies unveiled.",2,BWE-Agg-IDF,0.49350050377729165,0.4363249266864132,0.5342873840811665,0.560107072326747,0.5462722649610486,0.42359833828599214,0.4973834871228455,0.5103066394698512,0.20113639883667714,0.30014057291769985,0.6451279225116486,0.5475046631082332,0.16271656499620826
"The Home Team Science and Technology Agency (HTX) is formed to harness technologies for Singapore's security. A day later, HTX is launched with new technologies unveiled.",3,LASER,0.7125261457111435,0.6217823895634429,0.46634772062934693,0.5727017092878839,0.7445946114890284,0.7322088711166593,0.16044493613394029,0.20456802958503678,0.6399066371198397,0.6467527156778539,0.748841125949492,0.7523885708921486,0.16271656499620826
"A new recording of Majulah Singapura is released on its 60th anniversary with improvements in sound quality, being 5 seconds shorter than the 2001 version.",0,Title,"(38906, 'zh')","(90, 'ms')","(29816, 'en')","(2264, 'ta')","(13296, 'ta')","(3861, 'en')","(32256, 'zh')","(57391, 'en')","(533, 'ms')","(504, 'ms')","(10713, 'ta')","(13978, 'zh')",p=0.005
"A new recording of Majulah Singapura is released on its 60th anniversary with improvements in sound quality, being 5 seconds shorter than the 2001 version.",1,BWE-Agg-Add,0.33834897335614766,0.3118450795287873,0.4757411044218309,0.485783272619087,0.3688204170786379,0.49979058324105136,0.3109081497244433,0.5416692344625968,0.10935176138984108,0.27143853398426676,0.366123069030126,0.28064533102797923,0.9737094600859391
"A new recording of Majulah Singapura is released on its 60th anniversary with improvements in sound quality, being 5 seconds shorter than the 2001 version.",2,BWE-Agg-IDF,0.3405715690283775,0.29882566233534463,0.40394418925556896,0.47909407375952273,0.36316319775289624,0.4837400477061009,0.3157942556787497,0.5034076219482851,0.09993913752340328,0.24727177930252894,0.345797740396772,0.1890912783845482,0.013145269957030461
"A new recording of Majulah Singapura is released on its 60th anniversary with improvements in sound quality, being 5 seconds shorter than the 2001 version.",3,LASER,0.5877321961930887,0.6531433200146826,0.49542899805961155,0.6279726351347031,0.546129249846261,0.3163611118358185,0.5997221358630087,0.3150872521307272,0.6520990534228271,0.6606635578294953,0.5822426434881363,0.5711918554828997,0.013145269957030461
"On the same day, Ramli Sarip's rendition of Majulah Singapura is released as a music video.",0,Title,"(38906, 'zh')","(19, 'ms')","(335, 'ms')","(8108, 'ta')","(62108, 'en')","(89646, 'en')","(7294, 'ta')","(17469, 'zh')","(4663, 'ta')","(64732, 'en')","(43980, 'zh')","(90, 'ms')",p=0.472
"On the same day, Ramli Sarip's rendition of Majulah Singapura is released as a music video.",1,BWE-Agg-Add,0.39117869187036913,0.16114406720003202,0.4060321425168039,0.4824103627850404,0.6282118244741391,0.5880153845219919,0.43527846778885104,0.3128076828613294,0.5591057545353725,0.4492752928970319,0.21967219364882287,0.3361059780560894,0.47383037170284203
"On the same day, Ramli Sarip's rendition of Majulah Singapura is released as a music video.",2,BWE-Agg-IDF,0.4125736855823901,0.1506430366448782,0.4246167242222109,0.48273217039609817,0.5913596855237085,0.5213203754873349,0.3985558202272816,0.33273161081682007,0.5501686897424828,0.4206225567249685,0.23585833657172628,0.33066244047054133,0.2630848141485789
"On the same day, Ramli Sarip's rendition of Majulah Singapura is released as a music video.",3,LASER,0.5443669986950067,0.4746494442304853,0.6955044253980984,0.13174972854269384,0.600424536548131,0.43382399019752527,0.1698038393045534,0.5364414882232439,0.14272851097385497,0.5612983622237526,0.5220377507561447,0.6105631869638307,0.2630848141485789
"The Ministry of Transport announced that the Cross Island MRT line will run directly under the Central Catchment Nature Reserve as it is cheaper, hence resulting in lower energy consumption.",0,Title,"(18471, 'en')","(201, 'ms')","(2040, 'ta')","(11304, 'zh')","(40884, 'zh')","(10, 'ms')","(4728, 'ta')","(245, 'ta')","(41545, 'zh')","(67167, 'en')","(353, 'ms')","(97113, 'en')",p=0.717
