Queries,,Model,Article1/Ranking,Article2/Ranking,Article3/Ranking,Article4/Ranking,Article5/Ranking,Article6/Ranking,Article7/Ranking,Article8/Ranking,Article9/Ranking,Article10/Ranking,Article11/Ranking,Article12/Ranking,Article13/Ranking,Article14/Ranking,Article15/Ranking,Article16/Ranking,Article17/Ranking,Article18/Ranking,Article19/Ranking,Article20/Ranking,Article21/Ranking,Article22/Ranking,Article23/Ranking,Article24/Ranking,"Non-parametric (Friedman, Nemenyi)","Non-parametric (Friedman, Nemenyi) (New)"
Qatar withdraws from OPEC.,1,BWE-Agg-Add,0.5450433060795044,0.6405090260649261,0.606121380265045,0.5329658988418997,0.3259290550385379,0.3708726642843342,0.3883123774355644,0.5581104115235292,0.44884063214949427,0.5404534679246904,0.27967352102875714,0.31784176973815315,0.44923300354847956,0.3717141676162237,0.2824681257113611,0.6374267516083353,0.37662735066863473,0.4127302328612478,0.24560229093366592,0.5063121848700782,0.5622504527286273,0.3040587949023932,0.27671651439506717,0.5228034965168805,0.3489281671787624,0.32095189522288015
Qatar withdraws from OPEC.,2,BWE-Agg-IDF,0.5797507266389209,0.7292864866126746,0.6905983626642971,0.6397852897159281,0.31895224725724813,0.3880562410015063,0.3864076638349899,0.6396908004238833,0.5092446899991369,0.5999229880280517,0.27293422493474134,0.3015004146727027,0.5153011895350903,0.38874249726542676,0.2952577014830204,0.701622133127006,0.3941814690638134,0.4558095540807084,0.2855100050397501,0.5809145698238358,0.6485091226677524,0.279545948771271,0.23327197993816753,0.5826969938523866,0.5249644700682643,0.2555092977134637
Qatar withdraws from OPEC.,3,LASER,0.5605288828960407,0.2872657898350658,0.5399319393534743,0.47787924760013534,0.07476909171623107,0.07091666191589553,0.5078237049352635,0.4623014730983,0.5383503894392999,0.49108479903996416,0.06786006903220415,0.07999214257841822,0.37484121363194733,0.07284084923898257,0.3392460299898415,0.2723116510957066,0.5169514324188815,0.45335168561614414,0.5016739186239634,0.4654502787429391,0.3032016368765245,0.43749897454556014,0.26197284477736255,0.23937315992387037,0.11937209366109157,0.04689466410138698
Qatar withdraws from OPEC.,4,LASER-meta,0.6010436909433119,0.7293210521161136,0.6769141348168656,0.5848613942887204,0.417846780665998,0.5761899397735423,0.5749663914203962,0.6094656565639078,0.6096299477805823,0.6086089245359757,0.5048884759709279,0.1565754617824135,0.5485349557988592,0.5444572868534742,0.11668141140381917,0.7008307808392418,0.6094937447634404,0.6225298683490202,0.550734635416591,0.6264718954971802,0.6491765225325621,0.5631431108828738,0.5766195734239438,0.6106637245680558,0.006735269091881676,0.00026474494250230664
Qatar withdraws from OPEC.,5,Ensemble-model,0.5663350524030527,0.5673412623355539,0.6139338499972664,0.5437904294098279,0.2686769285684618,0.32568425724702793,0.46098840409544223,0.5527670046334732,0.517193904424893,0.5488072370609386,0.2609078496122212,0.2122441549274978,0.4574422796488016,0.32028341536485483,0.268059233398138,0.5517721096444564,0.4678186269746558,0.47368003996391134,0.3891953787979508,0.5300091750744865,0.5162902634296267,0.3918643167259306,0.32572475216870994,0.465648799154995,0,0.3763793980197669
Same-sex marriage becomes legal in Austria.,0,Title,"(15020, 'zh')","(2751, 'ta')","(22, 'ms')","(33157, 'en')","(13310, 'ta')","(5823, 'ta')","(122, 'ms')","(46140, 'zh')","(105386, 'en')","(128, 'ms')","(42697, 'en')","(69032, 'en')","(7050, 'zh')","(7282, 'ta')","(13448, 'zh')","(498, 'ms')","(183, 'ms')","(6153, 'en')","(35692, 'zh')","(76048, 'en')","(2329, 'ta')","(188, 'ms')","(42689, 'zh')","(7402, 'ta')",p=0.000000,p=0.000000
Same-sex marriage becomes legal in Austria.,1,BWE-Agg-Add,0.28603166685617354,0.3039193446246026,0.2819984850601258,0.4819819582208251,0.3053582402348879,0.2496975515241828,0.25948945056660333,0.3591263487722943,0.5136798741314905,0.307017972548178,0.5526954602419079,0.4493483352367675,0.2476291248156671,0.2889096672138968,0.16112207765978773,0.07688031097621471,0.3128689289993966,0.49604973367837,0.1596209942480515,0.4619928763038369,0.3592239302841219,0.15497858010481438,0.1302067659869966,0.23729048637893224,0.3879100740141402,0.2608688354575117
Same-sex marriage becomes legal in Austria.,2,BWE-Agg-IDF,0.28923593916231105,0.29988279868659556,0.28930395776469797,0.5035847173392908,0.3218749732069791,0.23543640978256794,0.25475213880646375,0.40522967659275666,0.598271699074965,0.3402301273197301,0.5894964256797168,0.4809962427955537,0.28346341071764775,0.2892413234750594,0.1744829179286555,0.06786849306711708,0.2948013008437454,0.5091095892908233,0.18761059003230293,0.5174478067993423,0.34807356497067066,0.1348931364571566,0.12054989423545576,0.24255594587036033,0.2934245176740155,0.24988083380648682
Same-sex marriage becomes legal in Austria.,3,LASER,0.4483888100758373,0.5201272634029425,0.1461107211886434,0.42977905590803833,0.30641062506178995,0.4039109397957977,0.17966257670251523,0.4947502202403363,0.4333708350352484,0.14295929932971657,0.22819136142933474,0.36150654691378087,0.4319503684735915,0.1198294335110046,0.42301631349637775,0.49668716024149123,0.13039691198199738,0.28665811277642333,0.46401205151661623,0.3956657141132295,0.17608153577560973,0.10441856117721879,0.3867163987229689,0.09535863610776495,0.3180638007409534,0.23935565547458773
Same-sex marriage becomes legal in Austria.,4,LASER-meta,0.5707786898912933,0.5096546400033973,0.5658562417800684,0.5871850473849333,0.4778997802546812,0.5380968675082974,0.5423955837683243,0.5536373208741927,0.5751963121448265,0.548893387226123,0.5771416435705381,0.5053281942427004,0.4844409972097605,0.5348034707062589,0.5041862356857939,0.573073829653987,0.4762704213786875,0.5995086270499785,0.4984725070457292,0.5593095844447549,0.5029202171483672,0.36265428911370096,0.5011074246083125,0.1864296392712919,0.0006016075708909021,1.3841454926882657e-05
Same-sex marriage becomes legal in Austria.,5,Ensemble-model,0.3919308508557683,0.40881638646480756,0.29976560575335,0.4909865666507175,0.34290340594193613,0.3511687753468462,0.2918284536389708,0.4457032189949556,0.5154536532586897,0.31205541425867883,0.46698284024250303,0.43946093670800745,0.3555523104824125,0.28810003520345195,0.3098923078556395,0.2997903597802338,0.288631314876558,0.4566680923703296,0.322466356447942,0.470533060510267,0.3319171281638855,0.17849880212162683,0.2793522197650804,0.18574365853604496,0,0.24988083380648682
Chinese probe Chang'e 4 becomes the first human-made object to land on the far side of the Moon.,0,Title,"(24413, 'en')","(6574, 'ta')","(15181, 'zh')","(663, 'ms')","(14149, 'en')","(865, 'ms')","(4844, 'ta')","(22904, 'zh')","(38688, 'zh')","(966, 'ms')","(9161, 'ta')","(5387, 'ta')","(32162, 'zh')","(25378, 'zh')","(37611, 'zh')","(271, 'ms')","(478, 'ms')","(455, 'ms')","(10887, 'en')","(9119, 'ta')","(10347, 'ta')","(93569, 'en')","(109769, 'en')","(49, 'en')",p=0.010209,p=0.005445
Chinese probe Chang'e 4 becomes the first human-made object to land on the far side of the Moon.,1,BWE-Agg-Add,0.734582447247262,0.4709457378357849,0.5257569361222526,0.5848365142376841,0.7213248521094188,0.3548982501586482,0.4682445612949732,0.5353993885015816,0.4022794532701332,0.260511046050586,0.4188197652247837,0.4503612826299048,0.5389831488733231,0.4073160824783898,0.5131799851371939,0.11891623307989041,0.23649982910976808,0.18641317462383797,0.589601966431463,0.3759146057463133,0.4746546476977202,0.615900370879594,0.6024846296605473,0.6111016351952925,0.18664305213944665,0.10859285956586785
Chinese probe Chang'e 4 becomes the first human-made object to land on the far side of the Moon.,2,BWE-Agg-IDF,0.7327895598078833,0.4844244624457149,0.5353625753281827,0.5802644624067584,0.7106867632989344,0.3822232661039285,0.5237423968163044,0.5632972989643187,0.46868190500959567,0.242510286723198,0.4182861757204349,0.44809009659039695,0.553320452426524,0.4820295566743875,0.5926036837824662,0.10349065998051497,0.223714715533287,0.17446684610852076,0.605990396310655,0.37664929236819134,0.4700788758716192,0.608285757811892,0.6057597984767191,0.5841096934982956,0.18664305213944665,0.15667464159549885
Chinese probe Chang'e 4 becomes the first human-made object to land on the far side of the Moon.,3,LASER,0.3220386672594601,0.15329484043171437,0.6520535806490456,0.6600386527110562,0.5753250516414203,0.530907117321802,0.33604588488461257,0.5936686743711355,0.5817267343169099,0.4307196813536516,0.16552747156963782,0.16105287340977134,0.6329197247982712,0.5575543959529298,0.6810505362331146,0.6230925807722736,0.5608078750148618,0.6239334209864232,0.6714687551254682,0.16499919290092865,0.1580247547854589,0.4789481709768652,0.5228714088378148,0.5981579046188836,0.6089929982417569,0.5178813757489283
Chinese probe Chang'e 4 becomes the first human-made object to land on the far side of the Moon.,4,LASER-meta,0.6944032581449754,0.39621274279018853,0.6570753455697781,0.596225911962824,0.7860249289233621,0.49783232479095063,0.5237468969979691,0.5616494040284089,0.5620694766637777,0.6051541199200536,0.592626620897197,0.4745164627395066,0.5633296929133352,0.5468436694990226,0.4898640267484799,0.4751800409981724,0.5361120581968394,0.5769784319069802,0.7514447787828973,0.46268503505670683,0.5554615879908948,0.6055978519032985,0.6208311052014095,0.6668673619272231,0.01772089747934986,0.0014366240752172227
Chinese probe Chang'e 4 becomes the first human-made object to land on the far side of the Moon.,5,Ensemble-model,0.6036832637426468,0.3636962211770571,0.5911465077238277,0.6087450034884972,0.6892728481655368,0.4401692891847165,0.44882885343353407,0.5623588192289334,0.49809090144287205,0.3774382694846783,0.3783858446333954,0.36891141309878756,0.5740269019109416,0.4916875393426926,0.5708362866576947,0.3377900437248173,0.39098264942339916,0.3929185458377622,0.6489860453824952,0.33079492645403225,0.39610020180445826,0.5719531996836951,0.5830319506567472,0.614214468332214,0,0.21541449901448775
Bartholomew I of Constantinople issues a formal decree granting independence to the Orthodox Church of Ukraine from the Russian Orthodox Church.,0,Title,"(805, 'ms')","(10287, 'en')","(12540, 'ta')","(14671, 'zh')","(873, 'ms')","(41052, 'zh')","(463, 'ta')","(34811, 'zh')","(32668, 'zh')","(40078, 'en')","(39613, 'en')","(918, 'ms')","(7483, 'ta')","(4113, 'ta')","(6310, 'ta')","(12514, 'zh')","(10870, 'ta')","(92, 'ms')","(27824, 'zh')","(26021, 'en')","(111300, 'en')","(62971, 'en')","(929, 'ms')","(900, 'ms')",p=0.000098,p=0.000001
Bartholomew I of Constantinople issues a formal decree granting independence to the Orthodox Church of Ukraine from the Russian Orthodox Church.,1,BWE-Agg-Add,0.4668692950533128,0.6513143835386062,0.30331719216841607,0.2839527856485509,0.36649502237741616,0.309540570116874,0.2698278227653487,0.19982807750303275,0.28579867863542174,0.40860120064696426,0.23406617365241064,0.43491730828889247,0.23011269902253623,0.3193038266884309,0.19868714033409107,0.3193228952643359,0.20269227086741395,0.3650588025920694,0.26680416103457155,0.3840204037162671,0.3913104172813667,0.3709198172116075,0.20525240021670357,0.3612832744333854,0.027966614412832345,0.006915711886244637
